trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,15.4754993,16.4807634,16.4847661,0,up,1,1.6085464,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
1,0,1,0,18.114578,19.1153606,19.1153606,0,up,1,0.5912222,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
2,0,2,0,19.7315309,20.7318269,20.7318269,0,up,1,0.6527888,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
3,0,3,0,21.4147499,22.4148635,22.4148635,0,up,1,0.5840461,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
4,0,4,0,23.0143878,24.0143616,24.0143616,-5,down,1,0.7454121,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
5,0,5,0,24.7807422,25.7817679,25.7817679,0,up,1,0.6011424,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
6,0,6,0,26.3974815,27.3981699,27.3981699,2,down,1,1.0830471,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
7,0,7,0,28.4975714,29.4979981,29.4979981,0,up,1,0.5739742,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
8,0,8,0,30.0974119,31.0979875,31.0979875,0,up,0,0.660612,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
9,0,9,0,31.7808917,32.7813238,32.7813238,-1,down,1,1.0575794,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
10,0,10,0,33.8638291,34.8643925,34.8643925,0,up,1,0.771196,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
11,0,11,0,35.6640656,36.6642919,36.6642919,0,up,1,0.86572,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
12,0,12,0,37.5468496,38.5469906,38.5469906,0,up,1,0.911147,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
13,0,13,0,39.4804778,40.480718,40.480718,2,down,1,0.8149701,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
14,0,14,0,41.3136502,42.3140635,42.3140635,0,up,1,1.2475756,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
15,0,15,0,43.579797,44.5806883,44.5806883,-3,down,1,0.7477709,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
16,0,16,0,45.3465718,46.346984,46.346984,0,up,1,0.8287603,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
17,0,17,0,47.1966756,48.1970851,48.1970851,-5,down,1,0.7058992,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
